vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
2,2023-01-01T00:58:25.000,2023-01-01T01:12:26.000,1.0,3.86,1.0,N,79,141,1,18.4,1.0,0.5,4.68,0.0,1.0,28.08,2.5,0.0
2,2023-01-01T00:15:30.000,2023-01-01T00:44:17.000,2.0,12.42,1.0,N,148,136,1,49.9,1.0,0.5,8.0,0.0,1.0,62.9,2.5,0.0
1,2023-01-01T00:31:09.000,2023-01-01T00:39:47.000,1.0,0.9,1.0,N,68,48,1,8.6,3.5,0.5,2.72,0.0,1.0,16.32,2.5,0.0
2,2023-01-01T00:33:25.000,2023-01-01T00:37:58.000,3.0,1.44,1.0,N,141,263,1,7.9,1.0,0.5,2.58,0.0,1.0,15.48,2.5,0.0
1,2023-01-01T00:55:58.000,2023-01-01T01:07:48.000,1.0,2.4,1.0,N,239,236,1,13.5,3.5,0.5,3.5,0.0,1.0,22.0,2.5,0.0
2,2023-01-01T00:57:14.000,2023-01-01T01:02:15.000,2.0,0.47,1.0,N,233,161,1,6.5,1.0,0.5,3.45,0.0,1.0,14.95,2.5,0.0
1,2023-01-01T00:02:43.000,2023-01-01T00:08:33.000,1.0,0.9,1.0,N,238,24,1,6.5,3.5,0.5,5.0,0.0,1.0,16.5,2.5,0.0
2,2023-01-01T00:21:02.000,2023-01-01T00:28:05.000,1.0,1.73,1.0,N,87,13,1,10.7,1.0,0.5,3.14,0.0,1.0,18.84,2.5,0.0
1,2023-01-01T00:02:42.000,2023-01-01T00:09:32.000,1.0,1.3,1.0,N,79,137,1,8.6,3.5,0.5,3.4,0.0,1.0,17.0,2.5,0.0
2,2023-01-01T00:35:41.000,2023-01-01T00:43:33.000,1.0,2.02,1.0,N,238,236,1,11.4,1.0,0.5,3.28,0.0,1.0,19.68,2.5,0.0
1,2023-01-01T00:50:11.000,2023-01-01T01:18:03.000,2.0,1.8,1.0,N,143,48,1,18.4,3.5,0.5,1.75,0.0,1.0,25.15,2.5,0.0
1,2023-01-01T00:21:30.000,2023-01-01T00:32:18.000,2.0,1.1,1.0,N,264,137,1,9.3,3.5,0.5,1.5,0.0,1.0,15.8,2.5,0.0
2,2023-01-01T00:53:23.000,2023-01-01T00:59:57.000,1.0,1.25,1.0,N,43,263,1,8.6,1.0,0.5,2.72,0.0,1.0,16.32,2.5,0.0
1,2023-01-01T00:39:48.000,2023-01-01T00:49:12.000,2.0,1.7,1.0,N,151,236,1,10.7,3.5,0.5,3.93,0.0,1.0,19.63,2.5,0.0
2,2023-01-01T00:59:12.000,2023-01-01T01:04:54.000,2.0,1.16,1.0,N,166,41,2,8.6,1.0,0.5,0.0,0.0,1.0,11.1,0.0,0.0
2,2023-01-01T00:38:47.000,2023-01-01T00:49:19.000,1.0,1.26,1.0,N,48,246,1,11.4,1.0,0.5,4.1,0.0,1.0,20.5,2.5,0.0
2,2023-01-01T00:36:38.000,2023-01-01T00:56:05.000,1.0,2.62,1.0,N,246,125,1,19.8,1.0,0.5,4.96,0.0,1.0,29.76,2.5,0.0
2,2023-01-01T00:18:43.000,2023-01-01T00:33:30.000,1.0,2.13,1.0,N,234,50,1,16.3,1.0,0.5,4.26,0.0,1.0,25.56,2.5,0.0
2,2023-01-01T00:23:54.000,2023-01-01T00:47:59.000,3.0,2.41,1.0,N,50,158,1,21.9,1.0,0.5,5.38,0.0,1.0,32.28,2.5,0.0
2,2023-01-01T00:51:55.000,2023-01-01T00:56:04.000,1.0,1.25,1.0,N,238,239,1,7.2,1.0,0.5,2.44,0.0,1.0,14.64,2.5,0.0
1,2023-01-01T00:52:06.000,2023-01-01T01:02:18.000,2.0,1.7,1.0,N,161,164,4,11.4,3.5,0.5,0.0,0.0,1.0,16.4,2.5,0.0
2,2023-01-01T00:50:43.000,2023-01-01T00:59:04.000,2.0,1.35,1.0,N,68,107,1,10.0,1.0,0.5,3.0,0.0,1.0,18.0,2.5,0.0
2,2023-01-01T00:23:16.000,2023-01-01T00:28:07.000,1.0,0.81,1.0,N,90,249,1,6.5,1.0,0.5,1.5,0.0,1.0,13.0,2.5,0.0
2,2023-01-01T00:58:49.000,2023-01-01T01:15:39.000,1.0,2.98,1.0,N,162,262,1,18.4,1.0,0.5,3.0,0.0,1.0,26.4,2.5,0.0
2,2023-01-01T00:45:02.000,2023-01-01T00:49:55.000,1.0,0.98,1.0,N,239,238,1,7.2,1.0,0.5,0.0,0.0,1.0,12.2,2.5,0.0
1,2023-01-01T00:08:50.000,2023-01-01T00:22:13.000,3.0,1.9,1.0,N,142,50,1,14.2,3.5,0.5,5.0,0.0,1.0,24.2,2.5,0.0
2,2023-01-01T00:42:20.000,2023-01-01T00:45:15.000,5.0,0.58,1.0,N,137,107,1,5.1,1.0,0.5,2.02,0.0,1.0,12.12,2.5,0.0
2,2023-01-01T00:07:44.000,2023-01-01T00:12:14.000,1.0,1.53,1.0,N,229,263,1,8.6,1.0,0.5,2.72,0.0,1.0,16.32,2.5,0.0
1,2023-01-01T00:23:12.000,2023-01-01T00:33:33.000,1.0,0.7,1.0,N,170,170,2,8.6,3.5,0.5,0.0,0.0,1.0,13.6,2.5,0.0
2,2023-01-01T00:19:29.000,2023-01-01T00:26:22.000,1.0,1.08,1.0,N,148,232,1,8.6,1.0,0.5,2.72,0.0,1.0,16.32,2.5,0.0
1,2023-01-01T00:42:24.000,2023-01-01T00:45:21.000,3.0,0.3,1.0,N,79,148,1,4.4,3.5,0.5,1.85,0.0,1.0,11.25,2.5,0.0
